Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population,DeathCount,Code
Alabama,Brain and Other Nervous System,2017,Male and Female,All Races,5.9,335,4875120,272,AL
Alaska,Brain and Other Nervous System,2017,Male and Female,All Races,5.9,45,739786,33,AK
Arizona,Brain and Other Nervous System,2017,Male and Female,All Races,5.5,447,7048876,344,AZ
Arkansas,Brain and Other Nervous System,2017,Male and Female,All Races,6.2,214,3002997,159,AR
California,Brain and Other Nervous System,2017,Male and Female,All Races,5.8,2431,39399349,1801,CA
Colorado,Brain and Other Nervous System,2017,Male and Female,All Races,7,415,5615902,267,CO
Connecticut,Brain and Other Nervous System,2017,Male and Female,All Races,6.6,277,3573880,186,CT
Delaware,Brain and Other Nervous System,2017,Male and Female,All Races,6.5,73,957078,51,DE
District of Columbia,Brain and Other Nervous System,2017,Male and Female,All Races,4.3,29,695691,18,DC
Florida,Brain and Other Nervous System,2017,Male and Female,All Races,6,1543,20976812,1224,FL
Georgia,Brain and Other Nervous System,2017,Male and Female,All Races,5.6,613,10413055,458,GA
Hawaii,Brain and Other Nervous System,2017,Male and Female,All Races,4.6,72,1424203,52,HI
Idaho,Brain and Other Nervous System,2017,Male and Female,All Races,6.8,127,1718904,95,ID
Illinois,Brain and Other Nervous System,2017,Male and Female,All Races,6.2,869,12786196,611,IL
Indiana,Brain and Other Nervous System,2017,Male and Female,All Races,6.1,444,6660082,350,IN
Iowa,Brain and Other Nervous System,2017,Male and Female,All Races,7.4,268,3143637,176,IA
Kansas,Brain and Other Nervous System,2017,Male and Female,All Races,6.1,196,2910689,170,KS
Kentucky,Brain and Other Nervous System,2017,Male and Female,All Races,7.5,370,4453874,246,KY
Louisiana,Brain and Other Nervous System,2017,Male and Female,All Races,6.2,313,4670818,252,LA
Maine,Brain and Other Nervous System,2017,Male and Female,All Races,8,129,1335063,96,ME
Maryland,Brain and Other Nervous System,2017,Male and Female,All Races,6,400,6024891,278,MD
Massachusetts,Brain and Other Nervous System,2017,Male and Female,All Races,6.9,528,6863246,397,MA
Michigan,Brain and Other Nervous System,2017,Male and Female,All Races,6.1,697,9976447,566,MI
Minnesota,Brain and Other Nervous System,2017,Male and Female,All Races,6.8,416,5568155,307,MN
Mississippi,Brain and Other Nervous System,2017,Male and Female,All Races,5.9,194,2989663,156,MS
Missouri,Brain and Other Nervous System,2017,Male and Female,All Races,6.9,470,6108612,340,MO
Montana,Brain and Other Nervous System,2017,Male and Female,All Races,6.2,80,1053090,64,MT
Nebraska,Brain and Other Nervous System,2017,Male and Female,All Races,7.6,163,1917575,110,NE
Nevada,Brain and Other Nervous System,2017,Male and Female,All Races,6.5,216,2972405,173,NV
New Hampshire,Brain and Other Nervous System,2017,Male and Female,All Races,7.8,127,1349767,77,NH
